product_name,status,bp_eur,bp_eur_cz,delivery_month,available,available_cz,released_rtd,brand,panel_colour,panel_design,panel_power,inverter_power,nomenclature_group,delivery_cw,length,height,width,pcs_ctn,pcs_pal,available_10_only,available_15_only,attribute_2,min_receipt_date,max_receipt_date
AVANCIS SKALA B001 140W Black,       ,1.3571,1.5,03/2024,1,0,0,AVANCIS,,,140,0,PAN_AVC,12,664.0,38.0,1587.0,0,20,0,0,24OV010100000183-0002,1710806400000.0,1710806400000.0
ANTAI_B0601-JDP20-01 Earthing Clip,       ,0.055,0.055,,14191,14191,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0,14191,0,23OV880100000001-0017,1704067200000.0,1704067200000.0
ANTAI_B0601-JDP29-01 Earthing Clip,       ,0.058,0.058,,2860,2860,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0,2860,0,23OV880100000001-0018,1704067200000.0,1704067200000.0
B230 BATTERY BLUETTI,       ,964.0,964.0,,4,4,0,BLUETTI,,,0,0,PPS_BLU,,280.0,227.5,420.0,0,0,4,0,23OV880100000001-0019,1704067200000.0,1704067200000.0
B300 BATTERY BLUETTI,       ,1378.0,1378.0,,18,18,0,BLUETTI,,,0,0,PPS_BLU,,320.0,266.0,520.0,0,0,18,0,23OV880100000001-0020,1704067200000.0,1704067200000.0
Backup Box-B1(HUAWEI LUNA2000-Back-up system 3-pha,       ,499.0,499.0,,4,4,0,HUAWEI,,,0,0,ACC_HUA,,350.0,130.0,400.0,0,0,4,0,24OV010100000201-0002,1712102400000.0,1712102400000.0
BENY EV Charger BCP-A1N-L,       ,223.44,283.92,,3,3,0,ZBENY,,,0,0,EVC_ZBN,,380.0,151.0,169.0,0,0,3,0,23OV880100000001-0023,1704067200000.0,1704067200000.0
BENY EV Charger BCP-AT1S-L,       ,255.36,315.84,,2,2,0,ZBENY,,,0,0,EVC_ZBN,,380.0,151.0,169.0,0,0,2,0,23OV880100000001-0024,1704067200000.0,1704067200000.0
BTS 5K-BDU,       ,224.0,229.0,,1,1,0,SOFAR,,,0,0,BAT_SOF,,170.0,200.0,708.0,0,0,1,0,23OV880100000001-0025,1704067200000.0,1704067200000.0
"BTS_5K_BATTERY_MODULE_5,12",       ,1533.0,1538.0,,2,2,0,SOFAR,,,0,0,BAT_SOF,,170.0,420.0,708.0,0,0,2,0,23OV880100000001-0026,1704067200000.0,1704067200000.0
BYD_BATTERY_HVM,       ,933.0,933.0,,6,6,0,BYD,,,0,0,BAT_BYD,,0.0,0.0,0.0,0,0,6,0,24OV010100000237-0001,1714435200000.0,1714953600000.0
BYD_BATTERY_HVM,       ,803.0,803.0,,14,14,0,BYD,,,0,0,BAT_BYD,,0.0,0.0,0.0,0,0,14,0,24OV010100000332-0002,1722556800000.0,1722556800000.0
BYD_BATTERY_HVS,       ,923.0,928.0,,0,0,0,BYD,,,0,0,BAT_BYD,,0.0,0.0,0.0,0,0,0,0,23OV880100000001-0027,1704067200000.0,1704067200000.0
BYD_BATTERY_HVS,       ,823.0,823.0,,37,37,0,BYD,,,0,0,BAT_BYD,,0.0,0.0,0.0,0,0,37,0,24OV010100000332-0001,1722556800000.0,1722556800000.0
BYD_HVM/HVS_BCU+BASE,       ,460.0,465.0,,0,0,0,BYD,,,0,0,BAT_BYD,,0.0,0.0,0.0,0,0,0,0,23OV880100000001-0028,1704067200000.0,1704067200000.0
BYD_HVM/HVS_BCU+BASE,       ,402.0,407.0,,5,5,0,BYD,,,0,0,BAT_BYD,,0.0,0.0,0.0,0,0,5,0,24OV010100000159-0002,1709683200000.0,1709683200000.0
BYD_HVM/HVS_BCU+BASE,       ,402.0,402.0,,12,12,0,BYD,,,0,0,BAT_BYD,,0.0,0.0,0.0,0,0,12,0,24OV010100000181-0003,1711324800000.0,1711324800000.0
ANTAI_C0101-TYN427-01 Connector,       ,0.538,0.6000000000000001,,10,10,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0,10,0,24OV010100000275-0004,1718582400000.0,1718582400000.0
ANTAI_C0102-TYN423-01 Front Base,       ,0.625,0.65,,10,10,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0,10,0,24OV010100000275-0001,1718582400000.0,1718582400000.0
ANTAI_C0102-TYN426-01 Rear Base,       ,0.886,0.9,,10,10,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0,10,0,24OV010100000275-0002,1718582400000.0,1718582400000.0
ANTAI_C0103-GN003-27 Mid Clamp (35/40mm Panel),       ,0.639,0.639,,8419,8419,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0,8419,0,23OV880100000001-0032,1704067200000.0,1704067200000.0
ANTAI_C0103-TYN436-03 Mid Clamp (30mm Panel),       ,0.548,0.548,,6574,6574,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0,6574,0,23OV880100000001-0033,1704067200000.0,1704067200000.0
ANTAI_C0104-TYN433-01 End Clamp (30mm Panel),       ,0.548,0.548,,1315,1315,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0,1315,0,23OV880100000001-0034,1704067200000.0,1704067200000.0
ANTAI_C0104-TYN433-03 End Clamp (30mm Panel),       ,0.452,0.452,,0,0,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0,0,0,23OV880100000001-0035,1704067200000.0,1704067200000.0
ANTAI_C0104-TYN434-01 End Clamp (35/40mm Panel),       ,0.641,0.641,,2011,2011,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0,2011,0,23OV880100000001-0036,1704067200000.0,1704067200000.0
ANTAI_C0104-TYN434-03 End Clamp (35/40mm Panel),       ,0.527,0.527,,3273,3273,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0,3273,0,23OV880100000001-0037,1704067200000.0,1704067200000.0
ANTAI_C0106-TYN418-01 Rail Splice,       ,0.796,0.796,,256,256,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0,256,0,23OV880100000001-0039,1704067200000.0,1704067200000.0
ANTAI_C0106-TYN425-01 Beam Splice,       ,0.8180000000000001,0.8180000000000001,,218,218,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0,218,0,23OV880100000001-0040,1704067200000.0,1704067200000.0
ANTAI_C0401-AU001-03 Tile Roof Hook,       ,3.536,3.536,,7658,7658,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0,7658,0,23OV880100000001-0041,1704067200000.0,1704067200000.0
ANTAI_C0402-CJ025-29 L Feet Kit with M10X250 Hange,       ,1.75,1.75,,830,830,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0,830,0,23OV880100000001-0042,1704067200000.0,1704067200000.0
